Date,Count
2013-01-15,24
2013-01-19,2
2014-03-28,1
2014-03-29,1
2014-03-22,2
2014-03-20,1
2014-03-21,1
2014-03-24,1
2017-03-31,28
2011-02-28,8
2011-02-27,3
2011-02-21,1
2011-02-22,1
2015-10-05,3
2015-10-04,5
2010-06-03,1
2010-06-02,4
2011-11-16,5
2012-03-02,1
2016-09-30,1
2012-03-06,4
2012-03-04,1
2017-04-06,3
2017-04-07,5
2017-04-04,4
2017-04-05,39
2017-04-02,3
2017-04-03,42
2017-04-01,1
2015-09-05,1
2017-04-08,3
2017-04-09,5
2013-02-13,32
2013-02-12,2
2013-02-11,1
2013-02-17,139
2011-01-04,1
2017-08-11,15
2017-08-10,9
2016-05-24,2
2016-05-25,2
2017-08-15,8
2017-08-14,9
2017-08-17,7
2017-08-16,6
2017-08-19,2
2017-08-18,9
2016-05-28,2
2016-05-29,3
2017-03-14,2
2017-03-15,4
2017-03-17,15
2017-03-10,1
2017-03-11,12
2017-03-12,4
2017-03-13,7
2014-08-12,1
2014-08-11,2
2014-08-16,2
2014-08-17,1
2011-05-11,2
2011-05-15,2
2015-09-08,4
2014-11-20,7
2014-11-23,1
2014-11-22,4
2014-11-25,1
2014-11-24,7
2014-11-28,2
2017-07-07,17
2017-07-06,15
2017-07-05,12
2017-07-04,3
2017-07-03,8
2017-07-02,17
2017-07-01,4
2017-07-00,3
2017-07-09,9
2017-07-08,2
2014-12-08,2
2014-12-09,5
2012-04-28,2
2012-04-25,1
2014-12-03,4
2014-12-01,4
2014-12-07,1
2014-12-04,4
2014-12-05,13
2011-10-11,1
2011-10-16,3
2011-10-18,19
2016-10-16,1
2013-10-30,1
2013-10-31,1
2012-07-02,1
2012-07-01,1
2012-07-08,1
2016-01-22,4
2016-01-20,8
2016-01-27,1
2016-01-24,3
2016-01-25,4
2012-12-31,30
2013-05-05,3
2013-05-04,2
2013-05-07,3
2013-05-06,1
2013-05-01,40
2015-05-19,1
2013-05-02,1
2015-05-15,3
2015-05-11,2
2015-05-12,5
2015-01-25,1
2015-01-24,1
2015-01-27,3
2015-01-26,1
2015-01-21,2
2015-01-20,2
2013-06-28,1
2013-06-26,1
2013-06-27,1
2015-01-29,2
2015-01-28,1
2013-06-20,2
2016-02-09,3
2016-02-08,1
2016-02-01,1
2016-02-04,1
